ID,Jogador,Time,Idade,Jogos,Minutos,Roubadas_de_bola,Desarmes,Faltas_cometidas,Dribles_sofridos,Gols,Assistências,Chutes,Passes_chaves,Dribles_realizados,Faltas_sofridas,Impedimentos,Perdas_de_bola,Nota
203,Carlos Eduardo,Athletico Paranaense,24,13(9),1133,0.6,0.5,0.9,1,5,4,1,0.5,0.8,1.3,0.1,1,6.62
204,Marquinhos,Sport Recife,23,23(3),1723,1,0.5,1.3,1.2,3,1,0.7,0.7,1.3,3.3,0,1.3,6.62
205,Igor Julião,Fluminense,26,17(1),1542,1.8,1.3,2.3,0.5,0,3,0.7,0.7,0.8,1.7,0.1,1.4,6.62
206,Lima,Ceara,24,13(11),1162,1.3,0.4,1.1,0.9,4,2,0.6,0.3,1.1,1.5,0.2,1.1,6.62
207,Kanu,Botafogo RJ,23,29,2610,1,1.6,1,0.3,0,1,0.5,0.1,0.2,1,0,0.2,6.62
208,Bérgson,Fortaleza,29,5(7),528,0.5,0.1,1.4,0.3,3,0,1.5,0.4,0.3,1,0.1,0.6,6.61
209,Igor Vinícius,Sao Paulo,23,12(9),1159,1.4,1.1,1.7,0.4,0,2,0.5,0.8,0.9,0.8,0,0.5,6.61
210,Jackson,Fortaleza,30,16(2),1448,0.7,0.8,1.4,0.3,0,0,0.5,0.1,0.3,0.9,0,0.1,6.61
211,Allan,Atletico MG,23,19(4),1731,1.3,1.5,1.4,0.7,0,0,0.9,0.5,0.4,0.9,0,0.6,6.61
212,Gabriel Veron,Palmeiras,18,7(10),761,0.9,0.2,0.8,0.7,3,1,0.6,0.7,1.2,0.9,0.1,0.9,6.61
213,Alerrandro,Red Bull Bragantino,21,11(5),928,0.4,0.2,0.6,0.5,5,2,1.5,0.8,0.4,1.3,0.3,0.6,6.60
214,Carlinhos,Vasco da Gama,26,10(9),891,1.3,0.3,1,0.7,1,1,1.1,0.9,1.1,1.1,0,0.5,6.60
